status_slucaja,confidence,izvor_snimka,model,napomena,povrsina_px,odnos_stranica,popunjenost,procenjena_povrsina_m2,parcela_id,broj_parcele,katastarska_opstina,inspektor_id,ima_dozvolu,preklapa_objekat_id
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,231.0,1.22,0.58,55.7,394,ADICA-TEST-99,Adica,1,True,254
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,216.0,1.31,0.64,53.06,404,ADICA-TEST-109,Adica,1,True,264
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,190.5,1.0,0.59,46.22,,,,1,False,
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,197.5,2.36,0.69,47.3,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,369.0,1.1,0.76,88.96,344,ADICA-TEST-49,Adica,1,True,204
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,229.5,1.16,0.55,55.58,395,ADICA-TEST-100,Adica,1,True,255
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,318.0,1.19,0.61,74.91,356,ADICA-TEST-61,Adica,1,True,216
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,357.0,1.04,0.65,86.43,346,ADICA-TEST-51,Adica,1,True,206
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,276.5,1.05,0.55,67.59,372,ADICA-TEST-77,Adica,1,True,232
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,305.0,1.53,0.69,71.91,308,ADICA-TEST-13,Adica,1,True,222
Podudara se sa legalnim objektom,0.946,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,569.5,1.46,0.5,137.46,356,ADICA-TEST-61,Adica,1,True,168
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,342.5,1.32,0.54,82.71,350,ADICA-TEST-55,Adica,1,True,210
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,500.5,1.26,0.75,118.13,316,ADICA-TEST-21,Adica,1,True,176
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,281.0,1.05,0.61,68.67,371,ADICA-TEST-76,Adica,1,True,231
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,483.0,1.26,0.72,112.37,318,ADICA-TEST-23,Adica,1,True,178
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,263.5,1.05,0.52,62.67,382,ADICA-TEST-87,Adica,1,True,242
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,279.0,2.29,0.62,65.07,352,ADICA-TEST-57,Adica,1,True,238
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,409.5,1.48,0.52,97.72,334,ADICA-TEST-39,Adica,1,True,194
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,173.0,1.31,0.51,42.14,,,,1,False,
Podudara se sa legalnim objektom,0.905,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,319.5,1.04,0.46,78.15,352,ADICA-TEST-57,Adica,1,True,212
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,128.5,1.38,0.55,30.97,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,266.5,1.0,0.5,64.11,379,ADICA-TEST-84,Adica,1,True,239
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,225.0,1.29,0.6,53.9,402,ADICA-TEST-107,Adica,1,True,262
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,164.0,1.92,0.59,39.62,,,,1,False,
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,159.0,2.0,0.55,38.66,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,231.0,1.18,0.68,55.94,392,ADICA-TEST-97,Adica,1,True,252
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,222.5,1.35,0.57,54.74,400,ADICA-TEST-105,Adica,1,True,260
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,305.0,1.21,0.7,74.07,358,ADICA-TEST-63,Adica,1,True,218
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,389.0,1.14,0.71,92.08,339,ADICA-TEST-44,Adica,1,True,199
Podudara se sa legalnim objektom,0.931,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,572.0,1.63,0.48,142.14,307,ADICA-TEST-12,Adica,1,True,167
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,147.0,1.91,0.64,35.29,303,ADICA-TEST-8,Adica,1,False,
Podudara se sa legalnim objektom,0.935,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,254.5,1.19,0.48,59.9,389,ADICA-TEST-94,Adica,1,True,249
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,775.5,1.53,0.56,180.31,301,ADICA-TEST-6,Adica,1,True,161
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,175.0,1.92,0.63,41.9,,,,1,False,
Podudara se sa legalnim objektom,0.902,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,401.0,1.54,0.45,94.12,338,ADICA-TEST-43,Adica,1,True,198
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,209.0,1.56,0.52,51.26,405,ADICA-TEST-110,Adica,1,True,265
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,174.5,1.29,0.69,42.26,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,237.0,2.31,0.61,55.94,393,ADICA-TEST-98,Adica,1,True,253
Podudara se sa legalnim objektom,0.93,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,681.5,1.69,0.48,164.23,303,ADICA-TEST-8,Adica,1,True,163
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,289.0,1.53,0.65,69.75,368,ADICA-TEST-73,Adica,1,True,228
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,290.0,1.65,0.61,70.47,338,ADICA-TEST-43,Adica,1,True,225
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,449.5,2.05,0.61,112.37,319,ADICA-TEST-24,Adica,1,True,179
Podudara se sa legalnim objektom,0.866,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1371.5,1.09,0.42,317.29,299,ADICA-TEST-4,Adica,1,True,159
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,263.0,1.8,0.65,62.06,384,ADICA-TEST-89,Adica,1,True,244
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,196.5,1.06,0.72,47.06,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,693.5,1.21,0.53,162.31,304,ADICA-TEST-9,Adica,1,True,164
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,209.5,1.56,0.52,50.3,408,ADICA-TEST-113,Adica,1,True,268
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,151.0,1.75,0.6,36.61,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,225.0,2.33,0.67,54.86,398,ADICA-TEST-103,Adica,1,True,258
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,138.5,1.82,0.63,33.85,,,,1,False,
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,181.5,1.12,0.63,41.78,,,,1,False,
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,165.5,1.92,0.51,40.94,,,,1,False,
Kandidat - bespravni objekat,0.897,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,122.0,1.62,0.45,30.49,,,,1,False,
Podudara se sa legalnim objektom,0.81,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1308.5,1.2,0.36,321.85,299,ADICA-TEST-4,Adica,1,True,158
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,307.5,1.3,0.59,71.91,363,ADICA-TEST-68,Adica,1,True,223
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,187.0,1.62,0.68,45.14,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,298.0,1.32,0.63,71.67,364,ADICA-TEST-69,Adica,1,True,224
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,248.0,1.05,0.59,60.38,387,ADICA-TEST-92,Adica,1,True,247
Podudara se sa legalnim objektom,0.847,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,217.0,1.24,0.4,55.1,397,ADICA-TEST-102,Adica,1,True,257
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,400.5,1.04,0.73,94.96,335,ADICA-TEST-40,Adica,1,True,195
Podudara se sa legalnim objektom,0.901,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,389.5,1.19,0.45,94.6,336,ADICA-TEST-41,Adica,1,True,196
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,462.5,1.95,0.59,110.44,321,ADICA-TEST-26,Adica,1,True,181
Kandidat - bespravni objekat,0.925,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,159.5,1.71,0.47,37.46,335,ADICA-TEST-40,Adica,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,316.5,1.09,0.6,77.55,353,ADICA-TEST-58,Adica,1,True,213
Podudara se sa legalnim objektom,0.822,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,641.0,1.02,0.37,148.74,305,ADICA-TEST-10,Adica,1,True,165
Podudara se sa legalnim objektom,0.865,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,264.5,1.32,0.41,63.75,380,ADICA-TEST-85,Adica,1,True,240
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,258.5,1.2,0.54,61.7,353,ADICA-TEST-58,Adica,1,True,245
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,129.5,1.5,0.6,31.57,,,,1,False,
Podudara se sa legalnim objektom,0.935,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,730.5,1.23,0.49,176.35,302,ADICA-TEST-7,Adica,1,True,162
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,156.5,2.0,0.54,38.54,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,289.5,1.09,0.5,70.23,367,ADICA-TEST-72,Adica,1,True,227
Podudara se sa legalnim objektom,0.912,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,456.0,3.41,0.46,107.32,327,ADICA-TEST-32,Adica,1,True,187
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,204.5,1.85,0.66,49.7,410,ADICA-TEST-115,Adica,1,True,270
Podudara se sa legalnim objektom,0.925,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,519.0,1.62,0.48,125.09,313,ADICA-TEST-18,Adica,1,True,173
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,181.0,1.06,0.53,44.54,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,217.5,3.09,0.58,50.66,407,ADICA-TEST-112,Adica,1,True,267
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1079.5,1.12,0.55,260.74,300,ADICA-TEST-5,Adica,1,True,160
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,189.0,1.69,0.66,45.5,,,,1,False,
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,124.5,1.64,0.63,29.89,,,,1,False,
Podudara se sa legalnim objektom,0.845,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,262.5,1.84,0.39,66.63,375,ADICA-TEST-80,Adica,1,True,235
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,277.0,1.5,0.72,67.11,374,ADICA-TEST-79,Adica,1,True,234
Podudara se sa legalnim objektom,0.932,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,347.0,1.25,0.48,84.75,348,ADICA-TEST-53,Adica,1,True,208
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,256.5,1.28,0.62,60.02,388,ADICA-TEST-93,Adica,1,True,248
Podudara se sa legalnim objektom,0.938,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,314.0,1.22,0.49,72.99,360,ADICA-TEST-65,Adica,1,True,220
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,177.5,1.06,0.58,42.86,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,379.5,1.45,0.65,90.4,341,ADICA-TEST-46,Adica,1,True,201
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,427.0,1.8,0.59,104.92,331,ADICA-TEST-36,Adica,1,True,191
