status_slucaja,confidence,izvor_snimka,model,napomena,povrsina_px,odnos_stranica,popunjenost,procenjena_povrsina_m2,parcela_id,broj_parcele,katastarska_opstina,inspektor_id
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,205.5,2.08,0.69,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,154.5,1.23,0.74,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,203.5,1.06,0.75,,,,,1
Detektovano ML,0.91,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,176.5,1.5,0.46,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,334.5,1.29,0.59,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,348.0,1.36,0.53,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,559.5,1.17,0.53,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,183.5,2.08,0.61,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,185.0,2.0,0.64,,,,,1
Detektovano ML,0.805,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,445.0,1.15,0.35,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,223.0,1.12,0.77,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,316.0,2.31,0.53,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,197.0,1.77,0.66,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,166.0,1.0,0.74,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,159.0,1.75,0.63,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,453.0,1.38,0.74,,,,,1
Detektovano ML,0.81,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,421.0,1.3,0.36,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,458.0,1.12,0.61,,,,,1
Detektovano ML,0.837,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,319.0,1.32,0.39,,,,,1
Detektovano ML,0.831,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,250.5,3.36,0.38,,,,,1
Detektovano ML,0.932,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,508.0,1.1,0.48,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,460.0,1.0,0.68,,,,,1
Detektovano ML,0.902,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,377.5,1.73,0.45,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,295.0,1.04,0.53,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,453.0,1.04,0.56,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,316.0,2.31,0.53,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,450.5,1.7,0.66,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,261.0,1.1,0.54,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,362.0,1.33,0.62,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,270.5,1.32,0.57,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,136.5,1.75,0.54,,,,,1
Detektovano ML,0.89,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,175.5,1.11,0.44,,,,,1
Detektovano ML,0.869,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1789.5,1.32,0.42,,,,,1
Detektovano ML,0.912,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,276.5,1.13,0.46,,,,,1
Detektovano ML,0.933,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,142.0,1.5,0.48,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,270.0,1.56,0.68,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,457.0,2.56,0.55,,,,,1
Detektovano ML,0.919,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,152.0,2.25,0.47,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,169.5,1.2,0.63,,,,,1
Detektovano ML,0.878,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,162.5,1.05,0.43,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,149.0,1.54,0.57,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,586.5,1.56,0.52,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,149.5,1.13,0.59,,,,,1
Detektovano ML,0.917,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,175.0,1.67,0.47,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,518.5,1.87,0.52,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,391.0,1.04,0.71,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,122.5,1.58,0.54,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,444.5,1.36,0.67,,,,,1
Detektovano ML,0.908,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,192.5,1.05,0.46,,,,,1
Detektovano ML,0.9,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,257.5,1.18,0.45,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,143.0,1.73,0.68,,,,,1
Detektovano ML,0.925,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,342.0,2.81,0.47,,,,,1
Detektovano ML,0.873,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1704.5,1.55,0.42,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,446.5,1.07,0.57,,,,,1
Detektovano ML,0.938,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,211.0,1.33,0.49,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,453.0,1.0,0.79,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,227.0,1.4,0.72,,,,,1
Detektovano ML,0.803,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,525.5,1.55,0.35,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,171.0,2.8,0.61,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,368.5,1.27,0.6,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,126.0,1.25,0.7,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,383.0,1.39,0.52,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,298.0,1.15,0.65,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,190.0,1.33,0.63,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,245.0,1.12,0.76,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,174.0,1.77,0.58,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,163.0,1.38,0.7,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,158.5,2.1,0.75,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,210.5,1.47,0.64,,,,,1
Detektovano ML,0.925,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,547.0,1.12,0.47,,,,,1
Detektovano ML,0.949,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,249.5,1.25,0.5,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,221.0,1.05,0.58,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,303.0,1.09,0.57,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,158.0,1.14,0.71,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,155.0,1.43,0.55,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,142.0,1.5,0.66,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,165.0,1.0,0.51,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,139.0,1.36,0.52,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,291.5,1.18,0.51,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,482.0,1.15,0.62,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,183.0,1.83,0.69,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,232.0,1.18,0.68,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,138.0,1.8,0.77,,,,,1
Detektovano ML,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,568.5,1.35,0.62,,,,,1
Detektovano ML,0.877,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,288.0,1.08,0.43,,,,,1
